user_id,rec_date,market_regime_at_rec,treatment,propensity,outcome_30d_return_pct,true_ite,age,risk_tolerance,portfolio_value,tenure_months,current_equity_allocation_pct,regime,volatility_index,interest_rate,inflation_rate,holding_alternatives_pct,holding_bonds_pct,holding_cash_pct,holding_equity_pct,equity_overweight_vs_risk,is_bull,is_bear,is_volatile,log_portfolio_value
1,2026-04-19,volatile,0,0.1868,1.187,0.385,47,7.4,23028.32,42,56.4,volatile,1.5312890354689446,1.674444408266789,2.937689667874982,9.19,25.75,8.65,56.4,-17.6,0,0,1,10.044480041825604
2,2024-09-02,volatile,0,0.131,-0.565,-0.042,73,5.2,2144.14,1,50.4,volatile,2.1852636770527494,1.819825752651668,2.6124333358782525,9.95,30.55,9.1,50.4,-1.6000000000000014,0,0,1,7.6704938185663005
3,2025-02-02,bear,1,0.1383,1.143,-1.004,25,7.1,68487.03,3,61.8,bear,1.033996033547143,1.6022848494127635,2.769105879770864,9.27,24.28,4.65,61.8,-9.200000000000003,0,1,0,11.134399663256962
4,2024-05-31,bear,0,0.11,2.014,-2.196,28,5.2,40175.5,76,41.7,bear,1.6453034512279443,1.8198192431202933,2.501715941271966,15.24,30.38,12.68,41.7,-10.299999999999997,0,1,0,10.601012636078984
5,2026-02-02,volatile,0,0.1756,-0.772,-0.491,40,6.4,40131.85,76,56.1,volatile,3.002253775803078,1.5034312345466658,2.8554852534754684,14.13,22.46,7.31,56.1,-7.899999999999999,0,0,1,10.599925562372816
6,2025-07-02,volatile,0,0.1009,-0.782,-2.203,46,2.5,24274.35,39,23.9,volatile,1.9979250192125204,1.447858553335377,2.7557971128971865,16.33,46.01,13.76,23.9,-1.1000000000000014,0,0,1,10.097175516281975
7,2024-04-07,bull,1,0.4233,2.195,1.028,69,1.0,20430.46,10,14.1,bull,1.0,1.9579202025914968,2.4809421191113072,33.18,41.88,10.84,14.1,4.1,1,0,0,9.924782203466167
8,2025-11-06,bull,1,0.6753,5.369,3.27,48,6.3,25094.89,92,40.8,bull,1.0,1.4950687675225385,2.8094871579242886,20.38,30.21,8.61,40.8,-22.200000000000003,1,0,0,10.130419518736131
9,2026-03-10,volatile,0,0.2802,-2.404,-0.478,45,6.4,57708.56,18,54.6,volatile,3.004760351221443,1.5990605973365022,2.8581206847951472,13.5,21.67,10.22,54.6,-9.399999999999999,0,0,1,10.96316079504575
10,2025-09-16,bear,0,0.1012,1.059,-1.763,30,6.5,68810.92,23,62.7,bear,1.3244158096547254,1.507366708570551,2.7435834381231152,10.19,18.89,8.22,62.7,-2.299999999999997,0,1,0,11.139117732256834
