user_id,asset_class,allocation_pct
1.0,equity,56.4
1.0,bonds,25.75
1.0,cash,8.65
1.0,alternatives,9.19
2.0,equity,50.4
2.0,bonds,30.55
2.0,cash,9.1
2.0,alternatives,9.95
3.0,equity,61.8
3.0,bonds,24.28
3.0,cash,4.65
3.0,alternatives,9.27
4.0,equity,41.7
4.0,bonds,30.38
4.0,cash,12.68
4.0,alternatives,15.24
5.0,equity,56.1
5.0,bonds,22.46
5.0,cash,7.31
5.0,alternatives,14.13
6.0,equity,23.9
6.0,bonds,46.01
6.0,cash,13.76
6.0,alternatives,16.33
7.0,equity,14.1
7.0,bonds,41.88
7.0,cash,10.84
7.0,alternatives,33.18
8.0,equity,40.8
8.0,bonds,30.21
8.0,cash,8.61
8.0,alternatives,20.38
9.0,equity,54.6
9.0,bonds,21.67
9.0,cash,10.22
9.0,alternatives,13.5
10.0,equity,62.7
10.0,bonds,18.89
10.0,cash,8.22
10.0,alternatives,10.19
11.0,equity,42.0
11.0,bonds,37.39
11.0,cash,8.69
11.0,alternatives,11.92
12.0,equity,78.2
12.0,bonds,14.04
12.0,cash,2.81
12.0,alternatives,4.95
13.0,equity,46.8
13.0,bonds,30.83
13.0,cash,13.23
13.0,alternatives,9.14
14.0,equity,53.6
14.0,bonds,28.38
14.0,cash,6.24
14.0,alternatives,11.78
15.0,equity,51.9
15.0,bonds,24.12
15.0,cash,6.7
15.0,alternatives,17.28
16.0,equity,68.4
16.0,bonds,20.18
16.0,cash,4.32
16.0,alternatives,7.1
17.0,equity,32.5
17.0,bonds,37.25
17.0,cash,10.29
17.0,alternatives,19.95
18.0,equity,37.3
18.0,bonds,32.75
18.0,cash,10.11
18.0,alternatives,19.85
19.0,equity,28.7
19.0,bonds,37.01
19.0,cash,13.55
19.0,alternatives,20.75
20.0,equity,83.9
20.0,bonds,8.62
20.0,cash,2.68
20.0,alternatives,4.81
21.0,equity,58.3
21.0,bonds,22.98
21.0,cash,6.4
21.0,alternatives,12.32
22.0,equity,47.9
22.0,bonds,31.31
22.0,cash,9.14
22.0,alternatives,11.65
23.0,equity,68.5
23.0,bonds,17.38
23.0,cash,4.14
23.0,alternatives,9.98
24.0,equity,51.7
24.0,bonds,22.03
24.0,cash,10.69
24.0,alternatives,15.57
25.0,equity,36.8
25.0,bonds,39.25
25.0,cash,8.61
25.0,alternatives,15.34
26.0,equity,43.9
26.0,bonds,29.28
26.0,cash,8.62
26.0,alternatives,18.19
27.0,equity,39.5
27.0,bonds,35.5
27.0,cash,7.75
27.0,alternatives,17.25
28.0,equity,41.5
28.0,bonds,37.78
28.0,cash,6.39
28.0,alternatives,14.33
29.0,equity,48.6
29.0,bonds,33.14
29.0,cash,5.67
29.0,alternatives,12.59
30.0,equity,27.3
30.0,bonds,37.33
30.0,cash,10.0
30.0,alternatives,25.36
31.0,equity,41.7
31.0,bonds,29.26
31.0,cash,14.53
31.0,alternatives,14.51
32.0,equity,62.0
32.0,bonds,20.58
32.0,cash,4.48
32.0,alternatives,12.94
33.0,equity,59.0
33.0,bonds,26.5
33.0,cash,5.59
33.0,alternatives,8.9
34.0,equity,42.8
34.0,bonds,26.57
34.0,cash,5.93
34.0,alternatives,24.7
35.0,equity,58.1
35.0,bonds,22.74
35.0,cash,9.96
35.0,alternatives,9.2
36.0,equity,52.9
36.0,bonds,21.35
36.0,cash,9.83
36.0,alternatives,15.91
37.0,equity,54.7
37.0,bonds,22.74
37.0,cash,6.02
37.0,alternatives,16.54
38.0,equity,62.0
38.0,bonds,22.45
38.0,cash,8.06
38.0,alternatives,7.49
39.0,equity,59.1
39.0,bonds,22.98
39.0,cash,5.33
39.0,alternatives,12.59
40.0,equity,68.9
40.0,bonds,14.03
40.0,cash,6.55
40.0,alternatives,10.52
41.0,equity,61.7
41.0,bonds,21.83
41.0,cash,6.26
41.0,alternatives,10.21
42.0,equity,64.3
42.0,bonds,17.59
42.0,cash,7.65
42.0,alternatives,10.46
43.0,equity,46.4
43.0,bonds,24.88
43.0,cash,10.53
43.0,alternatives,18.19
44.0,equity,78.8
44.0,bonds,12.46
44.0,cash,2.83
44.0,alternatives,5.91
45.0,equity,44.9
45.0,bonds,30.12
45.0,cash,9.81
45.0,alternatives,15.17
46.0,equity,49.7
46.0,bonds,28.58
46.0,cash,11.83
46.0,alternatives,9.89
47.0,equity,55.5
47.0,bonds,24.89
47.0,cash,4.9
47.0,alternatives,14.71
48.0,equity,44.1
48.0,bonds,29.01
48.0,cash,10.86
48.0,alternatives,16.03
49.0,equity,37.0
49.0,bonds,32.55
49.0,cash,13.56
49.0,alternatives,16.9
50.0,equity,46.9
50.0,bonds,25.91
50.0,cash,6.45
50.0,alternatives,20.74
51.0,equity,48.4
51.0,bonds,25.6
51.0,cash,11.94
51.0,alternatives,14.05
52.0,equity,28.0
52.0,bonds,42.21
52.0,cash,12.82
52.0,alternatives,16.98
53.0,equity,15.8
53.0,bonds,42.95
53.0,cash,20.02
53.0,alternatives,21.23
54.0,equity,65.4
54.0,bonds,21.72
54.0,cash,5.53
54.0,alternatives,7.35
55.0,equity,63.6
55.0,bonds,21.86
55.0,cash,8.63
55.0,alternatives,5.91
56.0,equity,49.6
56.0,bonds,25.84
56.0,cash,7.53
56.0,alternatives,17.04
57.0,equity,8.0
57.0,bonds,51.44
57.0,cash,14.84
57.0,alternatives,25.72
58.0,equity,54.9
58.0,bonds,27.16
58.0,cash,8.14
58.0,alternatives,9.79
59.0,equity,36.3
59.0,bonds,31.36
59.0,cash,9.78
59.0,alternatives,22.56
60.0,equity,48.9
60.0,bonds,29.86
60.0,cash,5.52
60.0,alternatives,15.73
61.0,equity,43.0
61.0,bonds,29.55
61.0,cash,5.84
61.0,alternatives,21.61
62.0,equity,49.9
62.0,bonds,30.77
62.0,cash,5.89
62.0,alternatives,13.44
63.0,equity,63.3
63.0,bonds,17.08
63.0,cash,8.0
63.0,alternatives,11.62
64.0,equity,55.1
64.0,bonds,21.01
64.0,cash,9.1
64.0,alternatives,14.79
65.0,equity,76.4
65.0,bonds,12.41
65.0,cash,5.27
65.0,alternatives,5.92
66.0,equity,45.5
66.0,bonds,26.52
66.0,cash,6.14
66.0,alternatives,21.84
67.0,equity,64.7
67.0,bonds,17.5
67.0,cash,8.47
67.0,alternatives,9.34
68.0,equity,65.2
68.0,bonds,21.43
68.0,cash,4.97
68.0,alternatives,8.4
69.0,equity,52.3
69.0,bonds,23.43
69.0,cash,5.89
69.0,alternatives,18.38
70.0,equity,19.9
70.0,bonds,39.59
70.0,cash,10.47
70.0,alternatives,30.04
71.0,equity,70.7
71.0,bonds,18.39
71.0,cash,3.02
71.0,alternatives,7.89
72.0,equity,50.9
72.0,bonds,30.74
72.0,cash,5.22
72.0,alternatives,13.15
73.0,equity,58.8
73.0,bonds,25.35
73.0,cash,6.75
73.0,alternatives,9.1
74.0,equity,25.6
74.0,bonds,34.63
74.0,cash,16.36
74.0,alternatives,23.41
75.0,equity,29.3
75.0,bonds,35.44
75.0,cash,16.38
75.0,alternatives,18.88
76.0,equity,65.0
76.0,bonds,21.02
76.0,cash,8.65
76.0,alternatives,5.33
77.0,equity,35.8
77.0,bonds,39.57
77.0,cash,8.74
77.0,alternatives,15.89
78.0,equity,66.6
78.0,bonds,17.76
78.0,cash,6.83
78.0,alternatives,8.81
79.0,equity,47.7
79.0,bonds,26.84
79.0,cash,9.52
79.0,alternatives,15.94
80.0,equity,44.8
80.0,bonds,27.46
80.0,cash,11.01
80.0,alternatives,16.73
81.0,equity,51.1
81.0,bonds,25.35
81.0,cash,5.29
81.0,alternatives,18.25
82.0,equity,32.4
82.0,bonds,43.5
82.0,cash,15.32
82.0,alternatives,8.78
83.0,equity,38.9
83.0,bonds,31.21
83.0,cash,7.3
83.0,alternatives,22.6
84.0,equity,31.1
84.0,bonds,41.14
84.0,cash,9.17
84.0,alternatives,18.59
85.0,equity,46.2
85.0,bonds,30.72
85.0,cash,11.67
85.0,alternatives,11.41
86.0,equity,74.4
86.0,bonds,12.91
86.0,cash,3.65
86.0,alternatives,9.03
87.0,equity,49.8
87.0,bonds,23.21
87.0,cash,7.43
87.0,alternatives,19.56
88.0,equity,31.9
88.0,bonds,38.78
88.0,cash,8.4
88.0,alternatives,20.92
89.0,equity,67.4
89.0,bonds,20.88
89.0,cash,6.79
89.0,alternatives,4.92
90.0,equity,46.9
90.0,bonds,26.06
90.0,cash,9.54
90.0,alternatives,17.5
91.0,equity,50.0
91.0,bonds,26.41
91.0,cash,7.87
91.0,alternatives,15.72
92.0,equity,68.6
92.0,bonds,17.65
92.0,cash,3.65
92.0,alternatives,10.1
93.0,equity,57.4
93.0,bonds,21.0
93.0,cash,5.22
93.0,alternatives,16.38
94.0,equity,36.1
94.0,bonds,30.98
94.0,cash,12.67
94.0,alternatives,20.25
95.0,equity,93.3
95.0,bonds,4.35
95.0,cash,1.32
95.0,alternatives,1.03
96.0,equity,43.6
96.0,bonds,36.49
96.0,cash,10.52
96.0,alternatives,9.39
97.0,equity,64.1
97.0,bonds,18.19
97.0,cash,8.29
97.0,alternatives,9.42
98.0,equity,49.0
98.0,bonds,23.64
98.0,cash,5.88
98.0,alternatives,21.48
99.0,equity,76.0
